ID,計画(0)、作った(1),テイスト,料理名,主な食材（分量目安つき）,カロリーの目安,作り方
250906-O-04,0,その他,クミン香る！スパイス牛乳ポタージュカレー,【ニンジン:1/2本】<β-カロテン  カリウム  食物繊維>  【タマネギ:1/4個】<ケルセチン  ビタミンC  食物繊維>  【卵:1個】<タンパク質  ビタミンA  ビタミンD>  【牛乳:200ml】<カルシウム  タンパク質  ビタミンB12>  【バター:10g】<脂質  ビタミンA>  【小麦粉:10g】<炭水化物>  【植物油:5g】<脂質>  【クローブ:少々】<芳香成分>  【クミン:小さじ1/2】<精油成分>  【レッドペッパー:少々】<カプサイシン>,385kcal,1. ニンジンとタマネギは薄切りにする。2. 鍋に植物油を熱し、ニンジンとタマネギをしんなりするまで炒める。3. 水100mlを加え、野菜が柔らかくなるまで煮込み、ミキサーで滑らかにする。4. 牛乳、バター、小麦粉、クミン、レッドペッパー、クローブ、塩少々を加え、とろみがつくまで弱火で加熱する。5. 卵黄を溶きほぐして加え、混ぜ合わせる。
250906-E-05,0,エスニック,クミン香る！ミルク仕立てのレッドペッパー・クローブ・ポテトカレー,【ニンジン:1/2本】<β-カロテン   ビタミンA   食物繊維>  【タマネギ:1/2個】<ビタミンC   カリウム   食物繊維>  【卵:1個】<タンパク質   ビタミンD   コリン>  【牛乳:100ml】<カルシウム   ビタミンB12   タンパク質>  【バター:10g】<脂質   ビタミンA   ビタミンD>  【塩:少々】<>  【砂糖:小さじ1】<糖質>  【酒:大さじ1】<アルコール   水分>  【味噌:大さじ1】<タンパク質   ビタミンB群   食物繊維>  【こしょう:少々】<>  【みりん:大さじ1】<糖質   アミノ酸>  【小麦粉:大さじ2】<炭水化物   タンパク質>  【植物油:大さじ1】<脂質   ビタミンE>  【クローブ:2粒】<メントール   鉄>  【クミン:小さじ1】<鉄   食物繊維   カリウム>  【レッドペッパー:小さじ1/2】<カプサイシン   ビタミンC>,580kcal,1. ニンジンとタマネギはみじん切りにし、クローブはすり潰す。2. フライパンに植物油とバターを熱し、クミン、レッドペッパー、すり潰したクローブを加えて香りを出す。3. みじん切りにしたニンジンとタマネギを加えてしんなりするまで炒める。4. 小麦粉を振り入れて粉っぽさがなくなるまで炒め、牛乳、水（分量外）、酒、みりん、味噌、砂糖、塩、こしょうを加えて混ぜながら煮詰める。5. 茹で卵を丸ごと加え、ソースがとろりとするまで弱火で煮込む。
250906-E-01,0,エスニック,クミン香る、クローブ薫る。スパイス香る味噌バター卵カレー,【ニンジン:1/4本】<β-カロテン  ビタミンA>  【タマネギ:1/4個】<ビタミンC  カリウム>  【卵:1個】<タンパク質  ビタミンD>  【牛乳:50ml】<カルシウム  タンパク質>  【バター:10g】<脂質  ビタミンA>  【味噌:大さじ1】<タンパク質  ビタミンB群>  【小麦粉:大さじ1】<炭水化物  食物繊維>  【植物油:大さじ1】<脂質>  【クミン:小さじ1】<>  【クローブ:2粒】<>  【レッドペッパー:少々】<>  【塩:少々】<>  【砂糖:ひとつまみ】<>,450kcal,1. ニンジンとタマネギはみじん切りにする。クローブは叩いて細かくする。 2. フライパンに植物油とバターを熱し、ニンジン、タマネギ、クミン、クローブ、レッドペッパーを炒める。 3. 野菜がしんなりしたら小麦粉を加えて炒め、味噌、砂糖、塩、牛乳を加えて混ぜながら加熱する。 4. 卵を割り入れて半熟状になるまで火を通す。 5. 全体を混ぜ合わせ、器に盛り付ける。
250906-O-02,0,その他,クローブ香る牛乳仕立てのスパイス卵カレー,【ニンジン:1/4本】<β-カロテン  ビタミンK  カリウム>  【タマネギ:1/4個】<ビタミンC  カリウム  硫化アリル>  【卵:1個】<タンパク質  ビタミンA  ビタミンD>  【牛乳:100ml】<カルシウム  タンパク質  ビタミンB2>  【バター:10g】<脂質  ビタミンA>  【小麦粉:10g】<炭水化物>  【植物油:5ml】<脂質>  【クミン:小さじ1/2】<鉄分  食物繊維>  【クローブ:2粒】<鉄分  マンガン>  【レッドペッパー:少々】<カプサイシン  ビタミンA>,315kcal,1. ニンジンとタマネギをすりおろし、クローブは砕いておく。 2. 鍋に植物油とバターを熱し、すりおろしたニンジンとタマネギを軽く煮る。 3. クミン、砕いたクローブ、レッドペッパーを加えて煮込み、小麦粉を加えて混ぜる。 4. 牛乳を加えてとろみがつくまで煮詰め、塩で味を調える。 5. 溶き卵を流し入れ、半熟状になったら器に盛る。
250906-O-03,0,その他,クローブ香る、牛乳仕立ての濃厚人参ポタージュカレー,【ニンジン:1本】<β-カロテン  カリウム  食物繊維>  【タマネギ:1/2個】<ビタミンC  カリウム  食物繊維>  【卵:1個】<タンパク質  ビタミンA  ビタミンD>  【牛乳:200ml】<カルシウム  タンパク質  ビタミンB2>  【バター:10g】<脂質  ビタミンA>  【塩:少々】<>  【砂糖:小さじ1】<糖質>  【小麦粉:大さじ1】<炭水化物  タンパク質>  【植物油:大さじ1】<脂質>  【クミン:小さじ1/2】<>  【クローブ:2粒】<>  【レッドペッパー:少々】<>,420kcal,1. ニンジンとタマネギを薄切りにし、鍋に植物油とクローブを熱して香りを出し、野菜を柔らかくなるまで炒める。2. 水(分量外)を加えて野菜が柔らかくなるまで煮込み、クローブを取り除く。3. 煮込んだ野菜と少量の煮汁をミキサーに入れ、滑らかになるまで攪拌する。4. 鍋に戻し、牛乳、バター、小麦粉、砂糖、塩、クミン、レッドペッパーを加えて弱火でとろみがつくまで加熱し、卵黄を加えて混ぜ合わせる。5. 卵白を泡立て、メレンゲ状になったものをカレーに加えてふんわりと仕上げる。
250906-O-04,0,その他,クローブ香る大人のミルクカレークリームオムレツ,【ニンジン:1/4本】<β-カロテン  カリウム  食物繊維>  【タマネギ:1/4個】<ビタミンC  カリウム  食物繊維>  【卵:2個】<タンパク質  ビタミンA  ビタミンD>  【牛乳:50ml】<カルシウム  タンパク質  ビタミンB12>  【バター:10g】<脂質  ビタミンA>  【小麦粉:5g】<炭水化物>  【植物油:小さじ1】<脂質>  【クミン:小さじ1/4】<食物繊維  鉄分>  【クローブ:2粒】<抗酸化物質  ビタミンK>  【レッドペッパー:少々】<カプサイシン  ビタミンA>  【塩:少々】<ナトリウム>  【こしょう:少々】<ピペリン>,350kcal,1. ニンジンとタマネギはみじん切りにし、クローブはすりおろす。 2. フライパンに植物油とバターを熱し、ニンジンとタマネギをクミン、レッドペッパーと共に炒め、しんなりしたら小麦粉を加えて炒める。 3. 牛乳を少しずつ加えながら混ぜ、塩、こしょうで味を調え、クローブの香りを立たせる。 4. 溶き卵に3のソースを少量加えて混ぜ、フライパンに流し入れ、半熟状になったら包み込む。 5. 皿に盛り付け、残りのソースをかける。
250906-O-05,0,その他,クローブ香る牛ひき肉と卵のクリーミーカレー,【ニンジン:1/2本】<β-カロテン  ビタミンK  カリウム>  【タマネギ:1/2個】<ケルセチン  ビタミンC  カリウム>  【卵:1個】<タンパク質  ビタミンD  ビタミンB12>  【牛乳:100ml】<カルシウム  タンパク質  ビタミンB2>  【バター:10g】<脂質  ビタミンA  ビタミンD>  【小麦粉:10g】<炭水化物  タンパク質  食物繊維>  【植物油:5g】<脂質  ビタミンE>  【クミン:小さじ1/2】<鉄分  食物繊維  抗酸化物質>  【クローブ:2粒】<メントール  ビタミンK  マンガン>  【レッドペッパー:少々】<カプサイシン  ビタミンC  ビタミンA>  【牛ひき肉:100g】<タンパク質  鉄分  亜鉛>,650kcal,1. ニンジンとタマネギはみじん切りにする。クローブはすり鉢で細かく砕く。 2. フライパンに植物油とバターを熱し、ニンジンとタマネギをクローブ、クミン、レッドペッパーと共に炒める。 3. 牛ひき肉を加えて色が変わるまで炒め、小麦粉を振り入れて全体に絡める。 4. 牛乳を少しずつ加えながら混ぜ、とろみがついたら塩こしょうで味を調える。 5. 卵を割り入れて半熟状になるまで加熱し、器に盛り付ける。
250906-E-01,0,エスニック,スパイシー牛ひき肉と豆腐のクミン風クレープ,【牛肉:100g】<タンパク質  鉄分  亜鉛>  【豆腐:100g】<タンパク質  カルシウム  イソフラボン>  【ニンジン:50g】<β-カロテン  ビタミンA>  【タマネギ:50g】<ケルセチン  ビタミンC>  【卵:1個】<タンパク質  ビタミンD  コリン>  【牛乳:50ml】<カルシウム  タンパク質  ビタミンB12>  【小麦粉:50g】<炭水化物  食物繊維>  【バター:10g】<脂質  ビタミンA>  【植物油:5g】<脂質>  【クミン:小さじ1/2】<>  【レッドペッパー:少々】<>  【クローブ:2粒】<>  【塩:少々】<>  【こしょう:少々】<>,550kcal,1. 牛肉、ニンジン、タマネギをみじん切りにし、クミン、レッドペッパー、クローブ、塩、こしょうと共に炒める。2. 豆腐は崩して1に加えて炒め合わせる。3. 卵、牛乳、小麦粉、塩少々を混ぜてクレープ生地を作り、バターを熱したフライパンで薄く焼く。4. 焼きあがったクレープに2の具材を乗せて包む。5. お好みで味噌を少量溶かしたソースを添える。
250906-E-02,0,エスニック,クミン香る豆腐と卵のココナッツミルクカレースープ,【豆腐:150g】<タンパク質  カルシウム  イソフラボン>  【卵:1個】<タンパク質  ビタミンD  ビタミンB12>  【ココナッツミルク:200ml】<脂質  カリウム  マグネシウム>  【クミン:小さじ1】<>  【レッドペッパー:少々】<>  【クローブ:2粒】<>  【ニンジン:1/4本】<β-カロテン  食物繊維  ビタミンK>  【タマネギ:1/4個】<ケルセチン  ビタミンC  カリウム>  【植物油:小さじ1】<>,480kcal,1. 豆腐は水切りし、一口大に切る。ニンジン、タマネギはみじん切りにする。クローブはすり潰す。 2. 鍋に植物油、クミン、レッドペッパー、クローブを熱し、香りを出す。 3. タマネギ、ニンジンを加えてしんなりするまで炒める。 4. ココナッツミルク、豆腐を加えて煮立たせ、塩で味を調える。 5. 卵を割り入れ、卵がお好みの固さになるまで加熱する。
250906-O-03,0,その他,クミン香る豆腐と卵のミルクポタージュカレー,【ニンジン:1/2本】<β-カロテン   ビタミンK   食物繊維>  【タマネギ:1/4個】<ビタミンC   カリウム>  【卵:1個】<タンパク質   ビタミンD   コリン>  【牛乳:200ml】<カルシウム   タンパク質   ビタミンB12>  【バター:10g】<脂質   ビタミンA>  【豆腐:100g】<タンパク質   カルシウム   イソフラボン>  【クミン:小さじ1/2】<鉄分   食物繊維>  【レッドペッパー:少々】<カプサイシン   ビタミンA>  【クローブ:2粒】<抗酸化物質   鉄分>  【小麦粉:大さじ1】<炭水化物   食物繊維>  【植物油:小さじ1】<ビタミンE>  【カレー粉:小さじ1】<様々なスパイスの複合栄養>  【塩:少々】<ナトリウム>  【砂糖:少々】<炭水化物>,450kcal,1. ニンジンとタマネギを細かく刻み、豆腐を崩す。 2. 鍋に油とバターを熱し、ニンジンとタマネギを柔らかくなるまで煮る。 3. スパイス類と小麦粉を加えて炒め、牛乳と豆腐を加えてさらに煮込む。 4. 卵を溶きほぐして加え、半熟になったら塩と砂糖で味を調える。 5. 器に盛り付け、お好みでこしょうを振る。
250906-E-04,0,エスニック,スパイス香るクローブ香る豆腐と卵のカレー風,【豆腐:1丁(300g)】<タンパク質  カルシウム  イソフラボン>  【卵:1個】<タンパク質  ビタミンD  レシチン>  【ニンジン:1/2本(50g)】<β-カロテン  カリウム  食物繊維>  【タマネギ:1/4個(50g)】<ケルセチン  ビタミンC  食物繊維>  【牛乳:50ml】<カルシウム  タンパク質  ビタミンB12>  【バター:5g】<脂質  ビタミンA>  【クローブ:2粒】<鎮静作用  抗酸化作用>  【クミン:小さじ1/2】<消化促進  鉄分>  【レッドペッパー:少々】<カプサイシン  ビタミンA>  【カレー粉:小さじ1】<様々なスパイスのブレンド  風味>,350kcal,1. 豆腐は水切りし、一口大に切る。ニンジン、タマネギはみじん切りにする。  2. フライパンにバターと植物油（分量外）を熱し、ニンジンとタマネギを弱火でじっくり炒める。  3. クローブはすり潰し、クミン、レッドペッパー、カレー粉と共に加えて香りを出す。  4. 豆腐を加え、牛乳を加えて煮立たせないように温める。  5. 溶き卵を回し入れ、半熟状になったら塩で味を調える。
250906-E-05,0,エスニック,スパイス香るクローブ風味の豆腐カレーミルク,【豆腐:150g】<タンパク質  カルシウム  マグネシウム>  【ニンジン:1/4本】<β-カロテン  カリウム>  【タマネギ:1/4個】<ケルセチン  ビタミンC>  【牛乳:100ml】<カルシウム  タンパク質  ビタミンD>  【バター:5g】<脂質  ビタミンA>  【クミン:小さじ1/2】<食物繊維  鉄>  【レッドペッパー:少々】<カプサイシン>  【クローブ:2粒】<抗酸化物質  ミネラル>  【植物油:小さじ1】<脂質>  【小麦粉:小さじ1】<炭水化物>  【塩:少々】<>  【砂糖:少々】<>,325kcal,1. 豆腐は水切りし、フォークで潰す。ニンジンとタマネギはすりおろす。2. フライパンに植物油とバターを熱し、クミン、クローブ、レッドペッパーを香りが立つまで炒める。3. 潰した豆腐、すりおろしたニンジンとタマネギ、小麦粉を加えて弱火で炒め合わせる。4. 牛乳を少しずつ加えながら混ぜ、とろみがつくまで加熱し、塩、砂糖で味を調える。